label,ssim_threshold,motion_threshold,original_frames,selected_frames,reduction_percent
REAL,0.9,0.25,390,339,13.08
REAL,0.9,0.3,390,252,35.38
REAL,0.9,0.35,390,170,56.41
REAL,0.9,0.4,390,90,76.92
REAL,0.9,0.45,390,51,86.92
REAL,0.95,0.25,390,339,13.08
REAL,0.95,0.3,390,252,35.38
REAL,0.95,0.35,390,170,56.41
REAL,0.95,0.4,390,90,76.92
REAL,0.95,0.45,390,54,86.15
REAL,0.98,0.25,390,390,0.0
REAL,0.98,0.3,390,390,0.0
REAL,0.98,0.35,390,390,0.0
REAL,0.98,0.4,390,390,0.0
REAL,0.98,0.45,390,390,0.0
FAKE,0.9,0.25,390,346,11.28
FAKE,0.9,0.3,390,237,39.23
FAKE,0.9,0.35,390,150,61.54
FAKE,0.9,0.4,390,68,82.56
FAKE,0.9,0.45,390,38,90.26
FAKE,0.95,0.25,390,346,11.28
FAKE,0.95,0.3,390,237,39.23
FAKE,0.95,0.35,390,150,61.54
FAKE,0.95,0.4,390,68,82.56
FAKE,0.95,0.45,390,41,89.49
FAKE,0.98,0.25,390,390,0.0
FAKE,0.98,0.3,390,390,0.0
FAKE,0.98,0.35,390,390,0.0
FAKE,0.98,0.4,390,390,0.0
FAKE,0.98,0.45,390,390,0.0
